epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,490.651,0.62245,0.44857,0.00907,0.93475,0.86388,0.93335,0.7885,0.77886,0.50922,0.01956,0.000458,0.000458,0.000458
66,498.224,0.6261,0.4698,0.0092,0.93498,0.8823,0.93947,0.79043,0.75493,0.51748,0.01876,0.000445625,0.000445625,0.000445625
67,505.78,0.59309,0.43204,0.00867,0.90916,0.8726,0.93564,0.78724,0.77361,0.56388,0.01903,0.00043325,0.00043325,0.00043325
68,512.999,0.60505,0.43326,0.00868,0.94443,0.8802,0.94625,0.79363,0.75775,0.46798,0.01857,0.000420875,0.000420875,0.000420875
69,520.232,0.61433,0.43725,0.00889,0.94037,0.8994,0.952,0.80502,0.73164,0.45,0.01743,0.0004085,0.0004085,0.0004085
70,527.706,0.61249,0.42465,0.00898,0.93216,0.91157,0.95027,0.80728,0.73193,0.45161,0.01767,0.000396125,0.000396125,0.000396125
71,535.162,0.58048,0.41435,0.00853,0.94994,0.87902,0.94948,0.80419,0.74671,0.45266,0.01837,0.00038375,0.00038375,0.00038375
72,542.5,0.59199,0.4088,0.00845,0.93401,0.87704,0.94216,0.7966,0.75586,0.49427,0.01864,0.000371375,0.000371375,0.000371375
73,549.752,0.59666,0.40999,0.00854,0.89315,0.90568,0.94267,0.79898,0.75714,0.50662,0.01876,0.000359,0.000359,0.000359
74,556.865,0.58617,0.41372,0.00847,0.92714,0.88705,0.94585,0.80286,0.75783,0.45391,0.01843,0.000346625,0.000346625,0.000346625
75,564.087,0.59501,0.41895,0.00829,0.94581,0.87757,0.95167,0.8088,0.74553,0.43593,0.01815,0.00033425,0.00033425,0.00033425
76,571.428,0.57316,0.40117,0.00796,0.9336,0.89177,0.94879,0.81112,0.729,0.46362,0.01764,0.000321875,0.000321875,0.000321875
77,578.693,0.56305,0.38423,0.00813,0.91848,0.9035,0.95152,0.80841,0.73646,0.45182,0.01791,0.0003095,0.0003095,0.0003095
78,586.077,0.56791,0.40505,0.00803,0.91597,0.89456,0.94308,0.80429,0.73018,0.47706,0.01755,0.000297125,0.000297125,0.000297125
79,593.533,0.56014,0.38869,0.00813,0.91903,0.8912,0.94766,0.808,0.73335,0.43855,0.01788,0.00028475,0.00028475,0.00028475
80,601.087,0.57159,0.41199,0.00803,0.94955,0.87416,0.9525,0.81179,0.7302,0.44336,0.01788,0.000272375,0.000272375,0.000272375
81,608.372,0.55903,0.4079,0.00786,0.93392,0.91151,0.95405,0.80712,0.74389,0.43851,0.01817,0.00026,0.00026,0.00026
82,615.55,0.55486,0.39776,0.00806,0.9374,0.89754,0.95726,0.80837,0.75519,0.40885,0.01873,0.000247625,0.000247625,0.000247625
83,622.742,0.55695,0.38948,0.00796,0.93849,0.88603,0.94471,0.80493,0.75449,0.45397,0.01881,0.00023525,0.00023525,0.00023525
