epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1158.76,0.61003,0.39943,0.00901,0.93758,0.90733,0.95423,0.81195,0.75117,0.4258,0.01801,0.000445625,0.000445625,0.000445625
67,1177.88,0.57888,0.36299,0.00871,0.95828,0.88362,0.943,0.79541,0.76734,0.47121,0.01883,0.00043325,0.00043325,0.00043325
68,1195.9,0.57966,0.36625,0.00853,0.93749,0.903,0.95182,0.8059,0.77219,0.4297,0.01929,0.000420875,0.000420875,0.000420875
69,1214.23,0.5801,0.35837,0.0086,0.95332,0.88805,0.94376,0.81285,0.73336,0.44203,0.01775,0.0004085,0.0004085,0.0004085
70,1232.3,0.58675,0.35516,0.00873,0.94978,0.908,0.95547,0.80968,0.75206,0.415,0.01813,0.000396125,0.000396125,0.000396125
71,1250.01,0.57006,0.35735,0.00855,0.92674,0.89444,0.94375,0.79655,0.78221,0.43186,0.01939,0.00038375,0.00038375,0.00038375
72,1267.52,0.55434,0.35082,0.00822,0.97711,0.8876,0.95407,0.81255,0.7757,0.45313,0.01912,0.000371375,0.000371375,0.000371375
73,1285.02,0.55502,0.33893,0.00803,0.9619,0.90689,0.95671,0.81151,0.77397,0.41963,0.01913,0.000359,0.000359,0.000359
74,1302.57,0.56107,0.35055,0.00824,0.9535,0.90472,0.95129,0.8244,0.73282,0.40058,0.01769,0.000346625,0.000346625,0.000346625
75,1320.28,0.56168,0.3496,0.00806,0.94553,0.9104,0.94712,0.8047,0.74672,0.4307,0.01843,0.00033425,0.00033425,0.00033425
76,1337.86,0.54124,0.33505,0.00779,0.93434,0.92934,0.95813,0.82017,0.74128,0.41167,0.01827,0.000321875,0.000321875,0.000321875
77,1355.69,0.53594,0.31825,0.00792,0.96063,0.90424,0.95161,0.81691,0.74051,0.408,0.01815,0.0003095,0.0003095,0.0003095
78,1373.53,0.5338,0.32511,0.00772,0.95173,0.91426,0.94343,0.80785,0.76896,0.46,0.01939,0.000297125,0.000297125,0.000297125
79,1391.42,0.53388,0.31923,0.00801,0.94255,0.91993,0.9556,0.82826,0.72698,0.41772,0.01775,0.00028475,0.00028475,0.00028475
80,1409.44,0.53917,0.34737,0.00779,0.96041,0.91147,0.95503,0.82387,0.73328,0.42119,0.01789,0.000272375,0.000272375,0.000272375
