epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,467.003,0.66466,0.46211,0.00982,0.8827,0.90813,0.94305,0.7906,0.76783,0.47441,0.01874,0.00058175,0.00058175,0.00058175
56,475.465,0.65669,0.45322,0.00989,0.9297,0.8293,0.92706,0.77568,0.77457,0.50991,0.01898,0.000569375,0.000569375,0.000569375
57,484.741,0.64495,0.45931,0.00956,0.93945,0.87163,0.93978,0.79072,0.74244,0.46303,0.01796,0.000557,0.000557,0.000557
58,493.362,0.64469,0.47063,0.00943,0.96364,0.90031,0.94893,0.79161,0.7669,0.45736,0.01894,0.000544625,0.000544625,0.000544625
59,501.528,0.63347,0.42587,0.00921,0.92931,0.88816,0.94804,0.77891,0.75874,0.46075,0.0182,0.00053225,0.00053225,0.00053225
60,509.695,0.61776,0.43825,0.00906,0.93534,0.88993,0.94465,0.78521,0.77642,0.46883,0.01901,0.000519875,0.000519875,0.000519875
61,518.259,0.61614,0.42626,0.00916,0.9245,0.87226,0.94415,0.79385,0.73985,0.47608,0.01806,0.0005075,0.0005075,0.0005075
62,526.652,0.62204,0.43345,0.0092,0.95491,0.86263,0.94029,0.78709,0.776,0.46781,0.0196,0.000495125,0.000495125,0.000495125
63,534.84,0.63031,0.42111,0.00918,0.92555,0.90237,0.94581,0.79012,0.75918,0.44409,0.01866,0.00048275,0.00048275,0.00048275
64,542.998,0.6186,0.40639,0.00934,0.923,0.88327,0.93963,0.79749,0.70778,0.48039,0.01713,0.000470375,0.000470375,0.000470375
65,551.245,0.60933,0.39995,0.00902,0.93793,0.86468,0.94374,0.79304,0.75539,0.4493,0.01848,0.000458,0.000458,0.000458
66,559.491,0.61757,0.42194,0.00914,0.95442,0.88011,0.94681,0.7889,0.74184,0.4408,0.01769,0.000445625,0.000445625,0.000445625
67,568.34,0.58826,0.38854,0.00884,0.94084,0.8861,0.94774,0.80485,0.72554,0.44906,0.0174,0.00043325,0.00043325,0.00043325
68,576.785,0.59114,0.38059,0.00861,0.9586,0.89745,0.96153,0.81232,0.74258,0.39944,0.01764,0.000420875,0.000420875,0.000420875
69,585.022,0.58697,0.39008,0.00868,0.9462,0.91635,0.95244,0.80182,0.73753,0.40923,0.01769,0.0004085,0.0004085,0.0004085
70,593.753,0.58529,0.37334,0.00873,0.93264,0.90444,0.9531,0.81326,0.72333,0.41865,0.01742,0.000396125,0.000396125,0.000396125
71,602.033,0.573,0.37842,0.00857,0.93,0.91931,0.95537,0.81379,0.73181,0.43031,0.01804,0.00038375,0.00038375,0.00038375
72,610.25,0.56636,0.37769,0.00825,0.94647,0.89635,0.9519,0.80648,0.74648,0.43713,0.01842,0.000371375,0.000371375,0.000371375
73,618.467,0.5698,0.36965,0.0082,0.96553,0.90157,0.95728,0.81184,0.7223,0.4341,0.01755,0.000359,0.000359,0.000359
74,626.676,0.5696,0.38076,0.00837,0.93822,0.8956,0.95454,0.81207,0.73261,0.43543,0.01771,0.000346625,0.000346625,0.000346625
75,635.304,0.57533,0.36166,0.00826,0.95075,0.90111,0.9468,0.80134,0.74078,0.47908,0.01835,0.00033425,0.00033425,0.00033425
76,643.522,0.55328,0.35406,0.00786,0.94314,0.91253,0.95659,0.8148,0.72695,0.41747,0.01758,0.000321875,0.000321875,0.000321875
77,652.632,0.5451,0.33755,0.00804,0.95843,0.87977,0.9484,0.8155,0.72872,0.4373,0.0179,0.0003095,0.0003095,0.0003095
78,661.9,0.54367,0.35361,0.00792,0.94823,0.911,0.95092,0.8099,0.72457,0.43125,0.01777,0.000297125,0.000297125,0.000297125
79,670.504,0.53834,0.33927,0.00808,0.95881,0.90345,0.95235,0.81758,0.7161,0.40247,0.01742,0.00028475,0.00028475,0.00028475
80,679.146,0.54696,0.36148,0.00775,0.94903,0.90758,0.95864,0.81517,0.72693,0.40534,0.01773,0.000272375,0.000272375,0.000272375
81,687.724,0.52667,0.34842,0.00752,0.95887,0.8917,0.94811,0.80628,0.73406,0.43969,0.01786,0.00026,0.00026,0.00026
82,696.455,0.53195,0.34187,0.00786,0.94406,0.90211,0.96203,0.82256,0.72402,0.4056,0.01752,0.000247625,0.000247625,0.000247625
83,705.144,0.53027,0.3243,0.00773,0.94173,0.91681,0.95864,0.82132,0.72704,0.40316,0.01774,0.00023525,0.00023525,0.00023525
84,713.72,0.54085,0.3489,0.00799,0.94925,0.92179,0.95314,0.81989,0.72574,0.40464,0.01764,0.000222875,0.000222875,0.000222875
85,722.344,0.52922,0.33404,0.00761,0.95935,0.92137,0.95539,0.82161,0.72819,0.39709,0.01782,0.0002105,0.0002105,0.0002105
86,730.951,0.52983,0.33026,0.00763,0.95219,0.9253,0.95402,0.81565,0.70351,0.44965,0.01693,0.000198125,0.000198125,0.000198125
